# U	$\xi_{c^\dagger c}$
# N=120
# range=U_0_2
0	2.38768926567
0.01	2.42014783122
0.02	2.4538729402
0.03	2.48273873114
0.04	2.51416978155
0.05	2.55237936
0.055	2.56666861122
0.06	2.58067190472
0.065	2.57844062181
0.07	2.59147899808
0.072	2.59656989393
0.074	2.60157826986
0.076	2.60649723229
0.078	2.61132098545
0.08	2.6160420954
0.085	2.60400958819
0.09	2.61433916532
0.095	2.62381971556
0.1	2.63229034364
0.11	2.64528715995
0.12	2.57129425364
0.13	2.53634594733
0.14	2.54493120409
0.15	2.55651730698
0.16	2.57337516837
0.17	2.50956171485
0.18	2.54137490907
0.19	2.57909684584
0.2	2.62176374646
0.22	2.71674650273
0.24	2.96450955043
0.26	3.09029327297
0.28	3.21910381259
0.3	3.35205271813
0.32	3.48970099337
0.34	3.63203315692
0.36	3.77890383539
0.38	4.80939424816
0.4	5.08235502149
0.42	5.00805731197
0.44	5.28036122136
0.46	5.57081106831
0.48	5.88172289515
0.5	6.21597133325
0.52	6.27126839225
0.54	6.64121892545
0.56	7.04945682993
0.58	5.06220767093
0.6	5.62945981631
0.62	5.82787933041
0.64	8.06794751557
0.66	6.2287536391
0.68	9.51110764366
0.7	10.185890969
0.71	10.5583292872
0.72	8.33404370397
0.73	11.4974095231
0.74	8.6210183602
0.75	12.4433999947
0.76	12.9717848661
0.765	15.0845354411
0.77	10.9450139359
0.772	15.533115316
0.774	15.6653635169
0.776	15.7995034285
0.778	15.9355792689
0.78	16.0736368831
0.782	16.2137235653
0.784	16.3558882905
0.786	13.6813483491
0.788	31.6752020071
0.79	31.665152636
0.8	20.9085137747
0.81	30.193150599
0.82	29.9470090742
0.83	31.18336973
0.84	32.4875892583
0.85	66.0455146968
0.86	30.8333463156
0.87	63.1175396595
0.88	56.6840927171
0.89	39.4750660706
0.9	44.0224147705
0.95	43.9327905779
1	78.9763840221
1.1	nan
1.2	2.80453494335
1.3	1.64517560826
1.4	2.4876081036
1.5	3.98581886011
1.6	39.8434803985
1.7	1.38187741305
1.8	1.90791104733
1.9	25.8059500048
2	22.5601711806
