# U	$\bar n_A$	$\bar n_B$	$\bar n_C$
# N=120
# range=U_0_2
0	0.339184399467	0.427935225557	0.732875773793
0.01	0.339099466362	0.427864622318	0.731062696022
0.02	0.339062758633	0.42784424168	0.729278864254
0.03	0.339071084618	0.427872642892	0.727521175155
0.04	0.339121356112	0.427948510484	0.725786613484
0.05	0.339210565512	0.428070650675	0.7240722289
0.055	0.339268846653	0.428148732722	0.723221691262
0.06	0.339335754664	0.428237989508	0.72237510448
0.065	0.339410920403	0.428338305485	0.721532101932
0.07	0.339493971599	0.428449572724	0.720692312766
0.072	0.339529315652	0.428497123276	0.720357212583
0.074	0.339565836552	0.428546403864	0.720022541724
0.076	0.339603509595	0.428597408644	0.719688275399
0.078	0.339642309796	0.428650131985	0.719354388516
0.08	0.339682211908	0.428704568466	0.719020855669
0.085	0.339786619303	0.428848121116	0.718188402367
0.09	0.339897342938	0.42900227411	0.717357585576
0.095	0.340013956095	0.429166961948	0.716527972441
0.1	0.340136011837	0.429342129289	0.71569910758
0.11	0.340394534318	0.429723736556	0.714041657846
0.12	0.340668579473	0.430146869883	0.712380756622
0.13	0.340949422929	0.430611178799	0.710707110315
0.14	0.341225414659	0.431117099172	0.709007724861
0.15	0.341485148158	0.431667062852	0.707268965903
0.16	0.341728261029	0.432265846836	0.705488842009
0.17	0.341973483954	0.432916264668	0.703689157761
0.18	0.34221118473	0.433619650645	0.701859497906
0.19	0.34244873953	0.434373924022	0.700010482656
0.2	0.342694049258	0.435173119064	0.698154541144
0.22	0.343226666218	0.436875114531	0.694456646872
0.24	0.343818879454	0.4386738912	0.690794761864
0.26	0.344459566084	0.440540299257	0.687161649139
0.28	0.345139171087	0.44245595926	0.683547828019
0.3	0.34585490581	0.444402309498	0.679952383754
0.32	0.346610160735	0.446356766353	0.676383707032
0.34	0.34741271027	0.448293797435	0.672857276275
0.36	0.348271821877	0.450189367501	0.66939118926
0.38	0.364461296157	0.45629558608	0.678658309681
0.4	0.365818330777	0.458211389538	0.675448800152
0.42	0.36718796517	0.460031189599	0.672282214634
0.44	0.368572253594	0.461760024105	0.669162085671
0.46	0.369971328945	0.463402810057	0.666089999647
0.48	0.371384278455	0.464964298592	0.663066481971
0.5	0.372809620202	0.466449039659	0.660091483878
0.52	0.374245576773	0.467861363529	0.657164661903
0.54	0.375690237536	0.469205375333	0.654285541784
0.56	0.377141656729	0.470484958162	0.651453614839
0.58	0.378800872955	0.472692460738	0.648915234023
0.6	0.38029364947	0.474018780357	0.646210504273
0.62	0.381787667589	0.475304825738	0.643549506856
0.64	0.382977532905	0.47502941006	0.640588921186
0.66	0.384770061148	0.477768915455	0.638352888125
0.68	0.385889774992	0.477001370416	0.635429860071
0.7	0.387339218311	0.477922132214	0.632917934101
0.71	0.388061698907	0.478367315945	0.631678818734
0.72	0.389196669522	0.481232814811	0.630852114239
0.73	0.389501432715	0.479228774241	0.629234222826
0.74	0.390651728124	0.482332691505	0.628426270933
0.75	0.390933274532	0.480053571311	0.626834398735
0.76	0.391645912445	0.480452898558	0.625651247626
0.765	0.392001357524	0.480649408072	0.625063856938
0.77	0.392809341203	0.483934484443	0.624855221812
0.772	0.392497966311	0.480921066358	0.624246192896
0.774	0.392639632468	0.480997953033	0.624013577484
0.776	0.392781198315	0.481074518856	0.623781407581
0.778	0.392922662985	0.481150765761	0.623549683064
0.78	0.39306402562	0.481226695672	0.623318403807
0.782	0.393205285373	0.481302310498	0.623087569682
0.784	0.393346441401	0.48137761214	0.622857180556
0.786	0.393946437704	0.484765472757	0.62298369674
0.788	0.394087866048	0.484868202912	0.622751373277
0.79	0.394229133498	0.48497067782	0.622519409854
0.8	0.394471857481	0.481968974556	0.621030070678
0.81	0.395632760602	0.485981272518	0.620219648804
0.82	0.395868604729	0.482681581075	0.618786101017
0.83	0.396562592813	0.483027302085	0.617680696374
0.84	0.397253544913	0.483366244515	0.616586309955
0.85	0.393721423202	0.481603514007	0.609637555858
0.86	0.39862603228	0.484024580078	0.614430468573
0.87	0.394897035142	0.482096360495	0.607290584809
0.88	0.395495966692	0.482344581556	0.606156410742
0.89	0.400660179461	0.484965977925	0.611278490885
0.9	0.40133142471	0.485268173063	0.610249472966
0.95	0.404634320817	0.486699078184	0.605264396625
1	0.402693875298	0.484837996219	0.593834404352
1.1	0.41397731635	0.490316501898	0.591836803292
1.2	0.419722130378	0.492268736982	0.584050153191
1.3	0.425091104168	0.493912376729	0.577080841436
1.4	0.430107401786	0.495280135312	0.570828857362
1.5	0.434800102548	0.496400133322	0.565200130562
1.6	0.433473089436	0.489618544327	0.554375623669
1.7	0.443341844731	0.498003026059	0.55548365899
1.8	0.447255328835	0.498534282981	0.551257328137
1.9	0.445178627296	0.489920239431	0.54203433422
2	0.448685571841	0.489883409717	0.538525042767
