# U	$\langle n_i n_j \rangle_{\mathrm{avg}}$
# N=120
# range=U_0_2
0	0.185065905952
0.01	0.184958055825
0.02	0.184894265289
0.03	0.184873301879
0.04	0.184894047072
0.05	0.184955492544
0.055	0.185001192284
0.06	0.185056737779
0.065	0.185122033157
0.07	0.185196989267
0.072	0.185229658043
0.074	0.185263854326
0.076	0.185299573335
0.078	0.18533681047
0.08	0.185375561303
0.085	0.185479033496
0.09	0.185591879343
0.095	0.185714045448
0.1	0.185845486355
0.11	0.186136051814
0.12	0.186463362881
0.13	0.186826981692
0.14	0.18722699482
0.15	0.187665325282
0.16	0.188145459853
0.17	0.188669794284
0.18	0.189238810147
0.19	0.189850480412
0.2	0.190499719531
0.22	0.191885152109
0.24	0.193352886737
0.26	0.19488005884
0.28	0.196453866196
0.3	0.198062688371
0.32	0.199692040611
0.34	0.201323613068
0.36	0.202937127939
0.38	0.20756712223
0.4	0.209189689118
0.42	0.210746127531
0.44	0.212238052898
0.46	0.213667567016
0.48	0.215037035914
0.5	0.216348938634
0.52	0.217605770161
0.54	0.21880998172
0.56	0.219963945989
0.58	0.22668862621
0.6	0.227996155961
0.62	0.229253316654
0.64	0.224121270503
0.66	0.23162852965
0.68	0.225952688041
0.7	0.226812888277
0.71	0.227229830124
0.72	0.234882184899
0.73	0.228038373197
0.74	0.235892700628
0.75	0.228814381873
0.76	0.229190641213
0.765	0.229375912109
0.77	0.237344321021
0.772	0.229632142937
0.774	0.229704684277
0.776	0.229776931458
0.778	0.229848885829
0.78	0.229920548737
0.782	0.229991921522
0.784	0.230063005518
0.786	0.238088070755
0.788	0.238179577092
0.79	0.238270760316
0.8	0.230621439568
0.81	0.23916491347
0.82	0.231294625335
0.83	0.231621224711
0.84	0.231941366637
0.85	0.233579119308
0.86	0.232562874315
0.87	0.234173970402
0.88	0.234468793838
0.89	0.233450350733
0.9	0.233734786876
0.95	0.235077393109
1	0.237281719453
1.1	0.238426434196
1.2	0.24020424196
1.3	0.241692525569
1.4	0.242935679511
1.5	0.243968414353
1.6	0.24132881334
1.7	0.245514189954
1.8	0.246072892245
1.9	0.240837457715
2	0.240495118711
