# U	$c$
# N=120
# range=U_0_2
0	-0.000301456240233
0.01	-0.00035268848567
0.02	-0.000438156229859
0.03	-0.000610765506747
0.04	-0.000971505961448
0.05	-0.00172532122017
0.055	-0.00235158728101
0.06	-0.00323552867817
0.065	-0.00444716116891
0.07	-0.00612292515008
0.072	-0.00694584387869
0.074	-0.0078755888835
0.076	-0.00892771015675
0.078	-0.0101044880164
0.08	-0.0114267477238
0.085	-0.0154517998891
0.09	-0.0207304018463
0.095	-0.0275576749577
0.1	-0.0363070544047
0.11	-0.0611208421494
0.12	-0.095739845359
0.13	-0.0693042452426
0.14	0.0897763478795
0.15	0.412205482736
0.16	0.798754241295
0.17	0.950848842893
0.18	1.05823055168
0.19	1.10949654646
0.2	1.11310513803
0.22	1.06519956059
0.24	1.05979836282
0.26	1.14930273501
0.28	1.33850485825
0.3	1.62081390351
0.32	1.97995807962
0.34	2.38546867222
0.36	2.79550841915
0.38	-0.0429668437183
0.4	-0.0191857985988
0.42	0.00167035433185
0.44	0.0193819307496
0.46	0.034594354548
0.48	0.0480724277425
0.5	0.0605248445742
0.52	0.0724984699502
0.54	0.0844347572435
0.56	0.0966494220516
0.58	-0.0298783249604
0.6	-0.0143976933817
0.62	0.00374329849578
0.64	0.15251710365
0.66	0.0511842497007
0.68	0.186265028081
0.7	0.204777121903
0.71	0.214437245979
0.72	0.15438424976
0.73	0.23456614579
0.74	0.196859906786
0.75	0.255724346711
0.76	0.266674889965
0.765	0.272236192866
0.77	0.266614205868
0.772	0.280120236194
0.774	0.282398620766
0.776	0.284678086774
0.778	0.286966873138
0.78	0.28926289968
0.782	0.291573432906
0.784	0.293888295794
0.786	0.306068322864
0.788	0.311097008532
0.79	0.316099721888
0.8	0.312705582183
0.81	0.367131171338
0.82	0.336895047077
0.83	0.349230985546
0.84	0.361712028644
0.85	0.227398036392
0.86	0.387034055024
0.87	0.28605383529
0.88	0.314047185233
0.89	0.425645494393
0.9	0.438656110384
0.95	0.503549122845
1	0.58988007069
1.1	0.68164125831
1.2	0.773426227341
1.3	0.839851063055
1.4	0.883780986925
1.5	0.910488737088
1.6	1.0149849968
1.7	0.932836435952
1.8	0.936160661458
1.9	1.0443891619
2	1.04733899984
