# U	$dE/dU$
# N=120
# range=U_0_2
0	31.9566659012
0.01	31.7560660115
0.02	31.5589857586
0.03	31.3651351968
0.04	31.1742382501
0.05	30.9860334856
0.055	30.8928632798
0.06	30.800275384
0.065	30.7082418846
0.07	30.6167361216
0.072	30.5802758635
0.074	30.5438944173
0.076	30.5075902644
0.078	30.4713619237
0.08	30.4352079557
0.085	30.3451393388
0.09	30.2555062655
0.095	30.1662898893
0.1	30.07747332
0.11	29.9009818804
0.12	29.7259145012
0.13	29.5517030259
0.14	29.3775653968
0.15	29.2030151422
0.16	29.0292534325
0.17	28.8595808424
0.18	28.6942733108
0.19	28.5351753523
0.2	28.3835365008
0.22	28.1031595553
0.24	27.8488088714
0.26	27.6141172607
0.28	27.3946126081
0.3	27.1874387409
0.32	26.9904436239
0.34	26.8016593114
0.36	26.6192501843
0.38	26.9864189246
0.4	26.7872642032
0.42	26.594247629
0.44	26.4067244311
0.46	26.2241142217
0.48	26.0459117456
0.5	25.8716843692
0.52	25.7010648243
0.54	25.5337426982
0.56	25.3694561265
0.58	25.3840270659
0.6	25.2221978229
0.62	25.0626718916
0.64	24.738730499
0.66	24.7500803995
0.68	24.4372249049
0.7	24.2895729509
0.71	24.2164879683
0.72	24.2960367734
0.73	24.0717576875
0.74	24.1483873545
0.75	23.92889586
0.76	23.8581478395
0.765	23.8229416309
0.77	23.9302260194
0.772	23.773838906
0.774	23.7598491433
0.776	23.7458768844
0.778	23.7319220804
0.78	23.7179846829
0.782	23.7040646437
0.784	23.6901619148
0.786	23.8154668235
0.788	23.801198933
0.79	23.7869480804
0.8	23.5795575951
0.81	23.6453721632
0.82	23.4428197748
0.83	23.3750703233
0.84	23.3077265762
0.85	22.411331735
0.86	23.174234839
0.87	22.2655911112
0.88	22.1957152309
0.89	22.9769078108
0.9	22.911887481
0.95	22.592218056
1	21.4051958192
1.1	21.6820385434
1.2	21.1093035287
1.3	20.5576531425
1.4	20.0220546075
1.5	19.4978009977
1.6	18.0984706776
1.7	18.4659909864
1.8	17.9502066134
1.9	16.5564752582
2	16.0306912355
2	16.0306912355
