# U	$\alpha_n$
# N=120
# range=U_0_2
0	-6.09052948636
0.01	-6.05055116223
0.02	-6.41616737445
0.03	-5.33599090627
0.04	-5.29557979603
0.05	-4.00556105203
0.055	-3.9862888643
0.06	-3.96727232122
0.065	-3.94857761815
0.07	-3.93027554906
0.072	-3.92307970486
0.074	-3.91596516904
0.076	-3.90893478426
0.078	-3.90199399919
0.08	-3.89514678748
0.085	-3.87847013114
0.09	-3.86247786909
0.095	-3.84723012357
0.1	-3.83277712357
0.11	-3.80643485895
0.12	-3.21652641132
0.13	-3.20977895719
0.14	-3.20578098652
0.15	-2.72812107523
0.16	-2.72393401739
0.17	-2.71334647013
0.18	-2.69650952257
0.19	-2.6740626422
0.2	-2.6475866615
0.22	-2.86641004004
0.24	-3.16223027027
0.26	-3.03283762627
0.28	-2.91729520468
0.3	-3.60090612791
0.32	-3.44698537034
0.34	-3.30079083028
0.36	-3.16364625795
0.38	-2.47777381333
0.4	-2.38827101065
0.42	-2.53499952757
0.44	-2.43420507799
0.46	-2.34098995984
0.48	-2.25433567307
0.5	-2.17348431546
0.52	-2.51358505315
0.54	-2.40379221454
0.56	-2.29997733399
0.58	-1.96955671943
0.6	-1.92870267707
0.62	-1.89422934842
0.64	-1.93732863448
0.66	-2.01895484814
0.68	-1.78365943722
0.7	-1.71296362122
0.71	-1.67906867375
0.72	-1.91756695255
0.73	-1.61407368282
0.74	-1.90304883771
0.75	-1.55265869784
0.76	-1.52323820739
0.765	-1.50883978085
0.77	-1.90178109119
0.772	-1.48902402171
0.774	-1.48343471251
0.776	-1.47787715321
0.778	-1.47235117925
0.78	-1.4668565927
0.782	-1.46139322018
0.784	-1.45596080052
0.786	-1.9120656703
0.788	-1.91392259245
0.79	-1.91590985856
0.8	-1.41359284227
0.81	-1.94318874749
0.82	-1.36323856155
0.83	-1.3390813731
0.84	-1.31556269798
0.85	-0.901094422411
0.86	-1.27030432447
0.87	-0.94546453283
0.88	-0.919292865508
0.89	-1.20628156888
0.9	-1.18579362354
0.95	-1.14567359769
1	-0.447100919497
1.1	-3.5583851826
1.2	-3.93473963202
1.3	-3.69312257681
1.4	-3.27019029134
1.5	-3.28668409167
1.6	-3.08882626638
1.7	-2.84304674688
1.8	-2.55505154758
1.9	-2.72274248208
2	-2.5020801448
