# U	$\xi_L$
# N=120
# range=U_0_2
0	2.43696766464
0.01	2.44164912236
0.02	2.36911443189
0.03	2.18074772269
0.04	2.08888025695
0.05	3.98104139884
0.055	3.68818324622
0.06	3.52567679835
0.065	3.42676768437
0.07	2.17084566312
0.072	2.62688490666
0.074	2.61498753335
0.076	2.53282099622
0.078	2.61017526645
0.08	2.38415171579
0.085	2.81788837696
0.09	3.33007416846
0.095	3.59709777542
0.1	3.84225997838
0.11	3.55149080187
0.12	3.81608657365
0.13	4.39927608294
0.14	nan
0.15	2.75560107858
0.16	3.17006933249
0.17	3.38773180476
0.18	3.49901679875
0.19	3.48822768924
0.2	3.35861358723
0.22	2.75426284761
0.24	2.5446269933
0.26	2.62709030973
0.28	2.31576875231
0.3	2.95566874613
0.32	3.29696903031
0.34	3.63269010229
0.36	3.96566746643
0.38	5.09032219801
0.4	5.35230275156
0.42	5.68868779532
0.44	6.0365066872
0.46	6.29621845129
0.48	6.6567196706
0.5	6.76849003737
0.52	7.02051237906
0.54	7.40209001646
0.56	7.66037214238
0.58	12.0123267973
0.6	12.5620228315
0.62	13.0677585198
0.64	9.00478619317
0.66	14.5658143586
0.68	9.63757587009
0.7	9.84750455767
0.71	10.0802539613
0.72	16.654431984
0.73	10.0611090903
0.74	17.5093546768
0.75	11.0887153661
0.76	11.3500859105
0.765	11.4834955814
0.77	19.5276177113
0.772	11.673457884
0.774	11.7283997366
0.776	11.7837107926
0.778	11.8392653993
0.78	12.6519543263
0.782	12.7124555011
0.784	12.6104899224
0.786	20.3678929742
0.788	20.4745621124
0.79	20.5817764814
0.8	14.0127739233
0.81	21.6738452838
0.82	15.8334144275
0.83	17.5869093149
0.84	18.0515923818
0.85	nan
0.86	18.1765773964
0.87	nan
0.88	nan
0.89	20.4439903608
0.9	19.9721584728
0.95	23.5286479834
1	nan
1.1	39.7432234431
1.2	53.3395327893
1.3	55.7498081769
1.4	60.2471850123
1.5	64.8020033071
1.6	2.95992810135
1.7	54.2954203788
1.8	2.81634107359
1.9	60.8431307568
2	21.8119096009
