# U	$\langle n_i n_j \rangle_{\mathrm{avg}}$
# N=120
# range=U_0_2
0	0.222660478079
0.01	0.222561088321
0.02	0.222507559772
0.03	0.222498520767
0.04	0.22253272514
0.05	0.222609050313
0.055	0.222662691618
0.06	0.222726499533
0.065	0.222800370197
0.07	0.222884208832
0.072	0.222920515897
0.074	0.222958399096
0.076	0.222997853703
0.078	0.223038875246
0.08	0.223081459553
0.085	0.223194732784
0.09	0.223317698077
0.095	0.223450316729
0.1	0.223592564462
0.11	0.223905930702
0.12	0.224257947324
0.13	0.224649040623
0.14	0.225080914151
0.15	0.225557700073
0.16	0.226085204945
0.17	0.226664889594
0.18	0.227299098665
0.19	0.227984356828
0.2	0.228712544351
0.22	0.230258723381
0.24	0.231877025734
0.26	0.233538323169
0.28	0.235228310347
0.3	0.236934410974
0.32	0.23864123737
0.34	0.240330446011
0.36	0.241983283068
0.38	0.247629935811
0.4	0.249416134025
0.42	0.251115802732
0.44	0.252733298511
0.46	0.254272804729
0.48	0.255738256802
0.5	0.257133323298
0.52	0.258461414264
0.54	0.25972570133
0.56	0.260929142218
0.58	0.264012716747
0.6	0.265356905269
0.62	0.266660002962
0.64	0.265187498007
0.66	0.269147020486
0.68	0.267016795235
0.7	0.267864096533
0.71	0.268271798032
0.72	0.272590449575
0.73	0.269056526188
0.74	0.273663471363
0.75	0.269801943908
0.76	0.270160494515
0.765	0.270336330295
0.77	0.275203415414
0.772	0.270578717481
0.774	0.270647169715
0.776	0.270715269092
0.778	0.27078301738
0.78	0.27085041634
0.782	0.270917467727
0.784	0.270984173292
0.786	0.275990507029
0.788	0.276087214239
0.79	0.276183547554
0.8	0.271505576495
0.81	0.277126261214
0.82	0.272127701026
0.83	0.272426899286
0.84	0.272718460766
0.85	0.271763325137
0.86	0.27327946895
0.87	0.272288925238
0.88	0.272553913768
0.89	0.27406857656
0.9	0.27431837844
0.95	0.275475942972
1	0.275173951067
1.1	0.278188134368
1.2	0.279502950395
1.3	0.280510074843
1.4	0.281254478733
1.5	0.281766413122
1.6	0.278955709825
1.7	0.282172729096
1.8	0.282090759758
1.9	0.278162124008
2	0.277665720694
